title,doi,year,authors,abstract,keywords,relevance_score,pdf_url,publisher,journal,type
Mobile Phone Contamination in Clinical Environments ‘The True Extent’,10.1099/acmi.fis2019.po0001,2020,Rebecca Simmonds; Emma Hayhust,"<jats:p>Smart phones are integral , especially within healthcare. However, there are increasing concerns regarding their contamination and potential infection control risk. Bacteria under selective pressure can rapidly acquire resistant mechanisms leading to the assumption; mobile phones used within clinical environment may harbour bacteria associated with a higher infection mortality rate.</jats:p>
               <jats:p>Using next generation sequencing technology, characterise the true extent of bacterial contamination on mobile phones of hospital staff and determine the presence of multi-drug resistant bacteria associated with hospital acquired infections.</jats:p>
               <jats:p>DNA was extracted from the swab tips of 450 Particpant’s mobile phones. 16S rRNA primers were used to characterise and compare the microbiome on devices from the hospital staff and a control group. <jats:italic>Staphylococcus aureus</jats:italic> and <jats:italic>Enterococcus faecalis</jats:italic> underwent Kirby Baur disc diffusion.</jats:p>
               <jats:p>Results The microbiome revealed the extent of contamination far exceeds anything previously reported. In particular, gram-negative bacteria (including several important potential pathogens) were grossly under detected. 198 bacteria genus were discovered on mobile phones of which 34 were unique to the hospital. Differences were also detected between hospital departments. MRSA, VRSA and VRE were only detected within the hospital group.</jats:p>
               <jats:p>Our results indicate traditional culture-dependent swabbing methods don’t provide an accurate account of mobile phone contamination. This may also be true in other areas relevant to infection control. Used within clinical environments could expose patients to unknown levels of multi drug resistant bacteria. Decontamination between patient contact should be a necessity to prevent the undermining of hand hygiene and the transmission of MDR bacteria.</jats:p>",job satisfaction,1.0,,Microbiology Society,Access Microbiology,journal-article
3 Modern True Crime,10.1515/9781626379138-004,2020,,,job satisfaction,1.0,,Lynne Rienner Publishers,"Fear, Justice, and Modern True Crime",book-chapter
"Chapter 2. Toward the Text of It’s All True, Based on the Work in Progress",10.1525/9780520938144-006,2019,,,job satisfaction,0.8,,University of California Press,It’s All True,book-chapter
Phd Support Groups: From Sceptic to True Believer,10.47967/tor2022/vol8.14,0,Kim Collet,"<jats:p>PhDs can be lonely and challenging endeavours; students come across setbacks, imposter syndrome sets in, motivation wanes and productivity slows (Denman et al, 2018 : Gin et al, 2021). However, when students can access quality support, these issues can be overcome (Naylor et al, 2018 : Elliot, 2020). Nonetheless, there can be challenges in being able to access this and pitfalls leading to negative experiences. In order to explore this, this essay will reflect on my own experiences of one type of support: informal PhD support groups. I joined my support group when I started to struggle with my PhD in 2021 despite my scepticism of the benefits and time ‘cost’. However, it has offered me the benefits of advice, reassurance, community and collaboration by the way in which it is run and how the members approach it. Thus, I have been converted from sceptic to true believer and I will conclude this essay by encouraging all fellow PhD students to give them a chance. Keywords: PhD support groups, advice, reassurance, community, collaboration</jats:p>",job satisfaction,0.0,,South West Doctoral Training Partnership,The Open Review Journal,journal-article
Human Resource Management Of Bureaucracy In Indonesia: Is It True That Job Satisfaction Increases Employee Performance ?,10.17762/pae.v58i1.1263,0,"Meimoon Ibrahim, Ilyas Lamuda","<jats:p>Objective: This study aims to analyze how the effect of leadership variables on employee performance with job satisfaction as intervening in the provincial government of Gorontalo-Indonesia.&#x0D;
Methods: The approach used is explanatory research, pattern of research that seeks to explain the relationship of variables referred so that the relationship of these variables can be tested with a quantitative approach and hypothesis testing used is the method of Structural Equation Modeling, with analytical tools of Loading Factor and Critical Ratio which is preceded by a validity test and reliability test.  The sample was drawn randomly according to representative samples at the level of the position group as many as 5% employee population of the Provincial it.&#x0D;
Results ;The results of the study show that leadership style has a positive and significant influence on job satisfaction and leadership style has an effect on employees' performance, but job satisfaction has negative and non-significant effect on employee performance. Conclusion; Expected that this research could also be developed in other fields or a wider scope and not only because each region has different characteristics. So it is recommended that policy makers as bureaucratic managers to pay more attention to job satisfaction factors in order to further improve employee performance.</jats:p>",job satisfaction,5.0,http://psychologyandeducation.net/pae/index.php/pae/article/download/1263/1060,"Auricle Technologies, Pvt., Ltd.",Psychology and Education Journal,journal-article
The True King and the Hegemon,10.2307/j.ctt6wq19b.16,0,,,job satisfaction,0.0,,Princeton University Press,Xunzi,book-chapter
The Rule of a True King,10.2307/j.ctt6wq19b.14,0,,,job satisfaction,0.0,,Princeton University Press,Xunzi,book-chapter
true date-time group,10.1007/springerreference_27565,0,,,work performance,0.0,,Springer-Verlag,SpringerReference,reference-entry
"Chapter 2. Toward the Text of It’s All True, Based on the Work in Progress",10.1525/9780520938144-006,2019,,,work performance,0.8,,University of California Press,It’s All True,book-chapter
P-glycoprotein Expressing-B cell associated Active True Renal Lupus Vasculitis in Lupus Nephritis,10.35248/2684-1630.20.5.150,0,Shizuyo Tsujimura; Akio Kawabe; Yoshiya Tanaka,,work performance,0.0,,Longdom Group,Lupus: Open Access,journal-article
Introduction,10.1093/oso/9780198859482.003.0001,2020,Julian Dodd,"<jats:title>Abstract</jats:title>
               <jats:p>This chapter sets the scene by introducing authenticity in performance as a way in which a performance is faithful to something. Work authenticity in performance is then characterized as faithfulness to the work. Score compliance authenticity and interpretive authenticity are then introduced as two different kinds of work authenticity. Already, merely by describing the kinds of performances that seem to matter most to us, it starts to look like it is interpretive authenticity that is work performance’s most fundamental norm. The chapter ends by laying out the structure of the book, explaining the key theses and arguments of each chapter.</jats:p>",work performance,3.0,,Oxford University PressOxford,Being True to Works of Music,book-chapter
One “True” Meaning,10.3998/ergo.6783,0,Poppy Mankowitz,"<jats:p>Some words express different meanings in different contexts, such as “bank” and “I.” Linguistic alethic pluralists claim that “true” is another such word. This is a surprising thesis that holds implications for debates about the nature of truth. Yet it is in need of careful elaboration and evaluation. I describe several versions of linguistic alethic pluralism, alongside tests that natural language theorists use to identify different types of meaning variation. I also consider empirical studies that have recently targeted the use of “true.” I conclude that there is currently no evidence for linguistic alethic pluralism, and unlikely to be any forthcoming.</jats:p>",work performance,0.0,,University of Michigan Library,Ergo an Open Access Journal of Philosophy,journal-article
Another Way the River Has: Taut True Tales from the Northwest,10.1353/book83958,2010,Robin Cody,,work performance,0.0,,Oregon State University Press,,monograph
The True Value of Open-Water Hydraulic Access Using Coiled Tubing,10.2118/199818-ms,2020,Mike Avery; Robert Greenaway; Robert Large; Phillip Rice,"<jats:title>Abstract</jats:title>
               <jats:p>As the global well base continues to increase, it is becoming apparent that under-investment in maintenance has helped contribute to a decreasing average production per subsea well. To combat this trend, more focused and cost-effective intervention techniques have emerged such as open-water hydraulic access (OWHA) using coiled tubing (CT).</jats:p>
               <jats:p>OWHA using CT provides operators with a fit-for-purpose solution to deliver fluids to a subsea well without the requirement for mechanical intervention. In scenarios which meet the requirements outlined within this paper, OWHA using CT offers an attractive alternative to conventional intervention approaches.</jats:p>
               <jats:p>Three predominant configurations of OWHA CT systems are apparent, all developed around differing drivers: a conventional system using a CT injector head (IH), a specialized system using a CT IH, and a powered reeler with deployment sheave. Both the benefits and limitations of each are considered to guide the reader in selecting the correct configuration for their application.</jats:p>
               <jats:p>The primary cost driver for hydraulic intervention is vessel selection. Factors including regional availability, mobilization requirements, and specification are key to the selection process. An advantage of OWHA using CT is the ability to use a vessel of opportunity due to the decreased equipment footprint and specification; this directly enhances service flexibility and cost management.</jats:p>
               <jats:p>When compared to alternative oil sources, the comparative cost per barrel of oil unlocked by OHWA is at least 43% less than the closest alternative. When compared to alternative intervention approaches, the simplified equipment and requirements result in a reduced total cost thus enhanced return on investment with accelerated payback.</jats:p>
               <jats:p>Using average global vessel rates and generalized assumptions, for a single well intervention the total costs can be in the order of the following magnitudes: floating rig USD 9-16M, light well USD 6-10M, OWHA USD 2-5M. Using an average well production gain of 1,950 BOPD this gives a typical payback time period of ~9 months for a rig and ~3 months for OWHA.</jats:p>
               <jats:p>In scenarios which meet the requirements outlined within this paper, OWHA provides the most economical solution with the ability to provide positive returns in the same financial year.</jats:p>",work performance,1.0,https://onepetro.org/SPECTWI/proceedings-pdf/doi/10.2118/199818-MS/2353856/spe-199818-ms.pdf,SPE,SPE/ICoTA Well Intervention Conference and Exhibition,proceedings-article
Is Knowledge Justified True Belief?,10.31219/osf.io/yev3s,0,John Turri,"<p>Is knowledge justified true belief? Most philosophers believe that the answer is clearly ‘no’, as demonstrated by Gettier cases. But Gettier cases don’t obviously refute the traditional view that knowledge is justified true belief (JTB). There are ways of resisting Gettier cases, at least one of which is partly successful. Nevertheless, when properly understood, Gettier cases point to a flaw in JTB, though it takes some work to appreciate just what it is. The nature of the flaw helps us better understand the nature of knowledge and epistemic justification. I propose a crucial improvement to the traditional view, relying on an intuitive and independently plausible metaphysical distinction pertaining to the manifestation of intellectual powers, which supplements the traditional components of justification, truth and belief.</p>",work performance,0.0,,Center for Open Science,,posted-content
Bacteria as true residents in the gastrointestinal tract of commercially reared fish,10.4172/2471-9315-c1-004,2017,Konstantinos Kormas,,work performance,0.4,,OMICS Publishing Group,Applied Microbiology: Open Access,journal-article
Access controls on bmj.com: Restore true open access to bmj.com,10.1136/bmj.330.7496.904,2005,Iain Chalmers,,work performance,0.0,,BMJ,BMJ,journal-article
Unfinished Work,10.2307/j.ctt1ffjg11.20,0,,,work performance,0.0,,University of Arkansas Press,"True Faith, True Light",book-chapter
A Dream Come True,10.33552/oajap.2019.02.000531,0,Kurt Forrer,,work performance,0.0,,Iris Publishers LLC,Open Access Journal of Addiction and Psychology,journal-article
RAVA: An Open Hardware True Random Number Generator Based on Avalanche Noise,10.1109/access.2023.3327325,2023,Gabriel Guerrer,,work performance,1.6,,Institute of Electrical and Electronics Engineers (IEEE),IEEE Access,journal-article
The practical work of the dissecting room has become vital to the true interests of humanity,10.1002/ca.23682,2020,R. Shane Tubbs,,work performance,1.0,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ca.23682,Wiley,Clinical Anatomy,journal-article
He Has What?,10.4324/9781003526810-10,2024,Robert O. Blanc,,work performance,1.8,,Routledge,True Stories From the Athletic Training Room,book-chapter
A True Symbiosis for the Mitochondria Evolution,10.4172/2167-7662.1000137,0,Alessandro Morelli; Camillo Rosano,,work performance,0.0,,OMICS Publishing Group,Bioenergetics: Open Access,journal-article
Full-Text Search on Data with Access Control,10.31219/osf.io/4rwj5,0,Ahmad Zaky,"<p>Full-Text Search combined with access control has a wide range of applications. Unfortunately, there are only few (if not zero) researches that combine the two. While inverted index is already used widely for full-text searching, we try to use generalized suffix tree for its ability to search for any substring within a document, not only exact word occurrence. Theoretically, the time and memory needed to index a collection of documents is linear in the total size of the documents. However, our implementation requires memory more than 1200 times of the size of documents. A further analysis shows that at least 32 times is needed, but will require longer indexing time. In conclusion, generalized suffix tree may not suitable for large amount of data. In the other hand, the search using generalized suffix tree is 3 times faster than inverted index. Suffix tree can be used only if substring search is required (e.g. DNA processing), or where time is significantly more important than memory (e.g. search autocomplete system). The access control itself acts as filter after the documents yielded from searching through the index.</p>",work performance,0.0,,Center for Open Science,,posted-content
ANZOP ACOFT Melb 2019 true time delay,10.31219/osf.io/sd42j,0,David Moss,<p>A microwave photonic true time delay line based on an integrated Kerr comb source with 49 GHz free spectral range was proposed and demonstrated. We theoretically analyze the performance of a phased array antenna and show that this large channel count results in a highangular resolution and wide beam-steering tunable range.</p>,work performance,0.0,,Center for Open Science,,posted-content
Preface to the Text and Translation,10.2307/j.ctvzgb7nn.8,2020,,,work performance,1.0,,Harrassowitz Verlag,Examination into the True Teaching,book-chapter
Physiological Level of LDL Cholesterol: The Master Key A Nobel Dream Comes True,10.4172/2329-6607.1000223,0,Morales Villegas EC; Ray KK,,work performance,0.0,,OMICS Publishing Group,Cardiovascular Pharmacology: Open Access,journal-article
How to Tell a True Cancer Story,10.1080/10462930701754424,2008,Linda M. Park-Fuller,,work performance,0.0,,Informa UK Limited,Text and Performance Quarterly,journal-article
"True self, true work",10.4324/9781003414520-7,2023,Etsuko Kato,,work performance,1.6,,Routledge,Mobile Japanese Migrants to the Pacific West and East,book-chapter
